ds,residuals
2021-06-16,-9360.090111364574
2021-06-17,-6318.403135430926
2021-06-18,11787.510089493895
2021-06-19,19001.55997288735
2021-06-20,5594.990599968223
2021-06-21,-6893.998724170924
2021-06-22,-5133.470876331638
2021-06-23,-3437.6030811649325
2021-06-24,-7601.191346030322
2021-06-25,27005.61685804963
2021-06-26,10133.818472146399
2021-06-27,12024.350481342066
2021-06-28,-1585.6154480921032
2021-06-29,436.5099437523313
2021-06-30,-5416.533487772049
2021-07-01,-2879.812738775363
2021-07-02,11482.036996728923
2021-07-03,-275.7067092906291
2021-07-04,16762.750740980176
2021-07-05,-5182.4588726604525
2021-07-06,-8781.59400032748
2021-07-07,1090.895797479985
2021-07-08,-3698.9537890230167
2021-07-09,-4322.473051626133
2021-07-10,-13347.615471765654
2021-07-11,19982.20954669742
2021-07-12,-2860.767839962933
2021-07-13,4280.2398666220615
2021-07-14,9.423434901531436
2021-07-15,-2348.663926373585
2021-07-16,-1876.446428970543
2021-07-17,-738.2047663684716
2021-07-18,17855.78411682707
2021-07-19,5467.248792202892
2021-07-20,408.81528991577215
2021-07-21,5059.930066384717
2021-07-22,-2869.3995429736024
2021-07-23,7646.807472072222
2021-07-24,1021.68449581389
2021-07-25,18095.039866173014
2021-07-26,-88.5086003479446
2021-07-27,-14526.944657669039
2021-07-28,-6032.804511735241
2021-07-29,-13878.383424874432
2021-07-30,4488.55108712551
2021-07-31,2304.8597494868372
2021-08-01,7984.157242142246
2021-08-02,-7.87888426965219
2021-08-03,-519.6999343493953
2021-08-04,-40.642833682541095
2021-08-05,10909.275193773909
2021-08-06,10990.77914238054
2021-08-07,8942.000087399792
2021-08-08,18154.764664268198
2021-08-09,2731.972228726576
2021-08-10,5494.405693414381
2021-08-11,13542.38271931195
2021-08-12,1348.2289340330535
2021-08-13,-2192.9426126998515
2021-08-14,27934.51056760318
2021-08-15,17569.04007929169
2021-08-16,-276.8769600818632
2021-08-17,1177.5085596827485
2021-08-18,-3707.100644579812
2021-08-19,10828.55274201939
2021-08-20,11661.487843593844
2021-08-21,18848.35795444953
2021-08-22,23217.66564775718
2021-08-23,-4801.677997542236
2021-08-24,-10785.55463805102
2021-08-25,-6327.593598422747
2021-08-26,-3479.9949058790735
2021-08-27,3738.9673382844703
2021-08-28,28455.020652078376
2021-08-29,32480.926532228477
2021-08-30,1489.6703877476903
2021-08-31,32273.60354363273
2021-09-01,-35414.62950687656
2021-09-02,9008.868073366437
2021-09-03,8021.221559794751
2021-09-04,28116.858467476137
2021-09-05,19236.48924074877
2021-09-06,-12710.973860920683
2021-09-07,-5501.415503740005
2021-09-08,14387.061663117966
2021-09-09,6236.479188587575
2021-09-10,16056.242356251489
2021-09-11,6237.761932211739
2021-09-12,23661.695436054175
2021-09-13,890.6016132441728
2021-09-14,806.6918592037837
2021-09-15,-360.0239415964643
2021-09-16,5576.476412865188
2021-09-17,1514.7623681170735
2021-09-18,18567.98160814609
2021-09-19,16988.618956844053
2021-09-20,-10075.807278321252
2021-09-21,-3396.0400470708482
2021-09-22,3258.7836158220016
2021-09-23,1035.465024281977
2021-09-24,505.05514835390204
2021-09-25,28751.04611544381
2021-09-26,12677.920468695367
2021-09-27,-7481.224426411383
2021-09-28,2785.1526415131557
2021-09-29,-6357.698513917985
2021-09-30,-4966.59995725955
2021-10-01,-9328.134115896595
2021-10-02,5853.295579137237
2021-10-03,1623.841928567177
2021-10-04,-8531.923299245947
2021-10-05,-5729.807034832389
2021-10-06,-593.0690367874959
2021-10-07,-9803.093771162163
2021-10-08,4226.165841242539
2021-10-09,8779.586145766189
2021-10-10,10780.662301499819
2021-10-11,-15709.166866978689
2021-10-12,-5369.107660403457
2021-10-13,-2810.4420407511716
2021-10-14,46424.581418083
2021-10-15,-44211.920572172385
2021-10-16,12019.343527298115
2021-10-17,21441.10030237644
2021-10-18,-6615.081194879669
2021-10-19,-10683.84440107719
2021-10-20,-5954.260760741039
2021-10-21,-7137.1250121189805
2021-10-22,3214.7530608839297
2021-10-23,10877.215817763892
2021-10-24,12506.258097947633
2021-10-25,-12726.141072153227
2021-10-26,-3537.062787532155
2021-10-27,-2844.0641675887164
2021-10-28,-4557.282093413942
2021-10-29,2638.001587471481
2021-10-30,10447.32510144663
2021-10-31,8863.438918231797
2021-11-01,-8153.53779506663
2021-11-02,-3912.999583571189
2021-11-03,-4526.700118236815
2021-11-04,-5065.002409631532
2021-11-05,1970.6761052975344
2021-11-06,10432.766961655783
2021-11-07,7689.485702867307
2021-11-08,-7946.834088059826
2021-11-09,-14869.756835792683
2021-11-10,-9722.000003296864
2021-11-11,-10402.742665845843
2021-11-12,51940.602982172044
2021-11-13,-40784.50135547565
2021-11-14,14361.775777451425
2021-11-15,-3498.6144365988876
2021-11-16,-5752.987384306725
2021-11-17,-2494.4476601426795
2021-11-18,-5111.7664538284735
2021-11-19,5484.869655660383
2021-11-20,10793.293179222928
2021-11-21,14032.346187063806
2021-11-22,-8235.17722723295
2021-11-23,-5676.946773045591
2021-11-24,-5946.869162785577
2021-11-25,-1893.3389463788844
2021-11-26,-7898.184879938606
2021-11-27,-4875.357736904312
2021-11-28,13673.013246288796
2021-11-29,-11909.1079340235
2021-11-30,-7233.07305542591
2021-12-01,-9084.357199113896
2021-12-02,-7095.878346799262
2021-12-03,-2579.351885729782
2021-12-04,-3972.3142072342453
2021-12-05,-521.2427021032163
2021-12-06,-12714.82551618277
2021-12-07,-12062.214011543816
2021-12-08,-11386.58165443482
2021-12-09,-15935.69200139532
2021-12-10,-7948.721613496375
2021-12-11,-6582.421715003169
2021-12-12,8875.265425270292
2021-12-13,3754.20765458218
2021-12-14,5422.061249932864
2021-12-15,4981.184491839984
2021-12-16,7543.855242152138
2021-12-17,6007.33617237836
2021-12-18,781.0673392797253
2021-12-19,-635.3101198232325
2021-12-20,3215.66421883781
2021-12-21,4614.607131295659
2021-12-22,-1859.4607195482495
2021-12-23,-7986.208820244505
2021-12-24,-2277.1892503096715
2021-12-25,-611.5085430743165
2021-12-26,18145.62406448157
