,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature
173,2021-06-23,26591.7,0.0,0.0,0.0,0.0
174,2021-06-24,29361.0,0.0,0.0,0.0,0.0
175,2021-06-25,35642.6,0.0,0.0,0.0,0.0
176,2021-06-26,91390.6,0.0,0.0,0.0,0.0
177,2021-06-27,40098.8,0.0,0.0,0.0,0.0
178,2021-06-28,19362.5,0.0,0.0,0.0,0.0
179,2021-06-29,24170.4,0.0,0.0,0.0,0.0
180,2021-06-30,26331.9,0.0,0.0,0.0,0.0
181,2021-07-01,24910.3,0.0,0.0,0.0,0.0
182,2021-07-02,25082.6,0.0,0.0,0.0,0.0
183,2021-07-03,23972.7,0.0,0.0,0.0,0.0
184,2021-07-04,33538.8,0.0,0.0,0.0,0.0
185,2021-07-05,24074.7,0.0,0.0,0.0,0.0
186,2021-07-06,28765.6,0.0,0.0,0.0,0.0
187,2021-07-07,26285.4,0.0,0.0,0.0,0.0
188,2021-07-08,24346.7,0.0,0.0,0.0,0.0
189,2021-07-09,27864.0,0.0,0.0,0.0,0.0
190,2021-07-10,32872.3,0.0,0.0,0.0,0.0
191,2021-07-11,22868.9,0.0,0.0,0.0,0.0
192,2021-07-12,24827.2,0.0,0.0,0.0,0.0
193,2021-07-13,26350.3,0.0,0.0,0.0,0.0
194,2021-07-14,27476.6,0.0,0.0,0.0,0.0
195,2021-07-15,26191.8,0.0,0.0,0.0,0.0
196,2021-07-16,25293.6,0.0,0.0,0.0,0.0
197,2021-07-17,21546.9,0.0,0.0,0.0,0.0
198,2021-07-18,32724.6,0.0,0.0,0.0,0.0
199,2021-07-19,20386.5,0.0,0.0,0.0,0.0
200,2021-07-20,23295.7,0.0,0.0,0.0,0.0
201,2021-07-21,21627.4,0.0,0.0,0.0,0.0
202,2021-07-22,21776.8,0.0,0.0,0.0,0.0
203,2021-07-23,32135.4,0.0,0.0,0.0,0.0
204,2021-07-24,21560.7,0.0,0.0,0.0,0.0
205,2021-07-25,37514.2,0.0,0.0,0.0,0.0
206,2021-07-26,26494.4,0.0,0.0,0.0,0.0
207,2021-07-27,25570.6,0.0,0.0,0.0,0.0
208,2021-07-28,26536.8,0.0,0.0,0.0,0.0
209,2021-07-29,31863.6,0.0,0.0,0.0,0.0
210,2021-07-30,29557.7,0.0,0.0,0.0,0.0
211,2021-07-31,39984.3,0.0,0.0,0.0,0.0
212,2021-08-01,42440.9,0.0,0.0,0.0,0.0
213,2021-08-02,32473.2,0.0,0.0,0.0,0.0
214,2021-08-03,24686.6,0.0,0.0,0.0,0.0
215,2021-08-04,27405.5,0.0,0.0,0.0,0.0
216,2021-08-05,26650.7,0.0,0.0,0.0,0.0
217,2021-08-06,45721.4,0.0,0.0,0.0,0.0
218,2021-08-07,38860.6,0.0,0.0,0.0,0.0
219,2021-08-08,38602.0,0.0,0.0,0.0,0.0
220,2021-08-09,20233.1,0.0,0.0,0.0,0.0
221,2021-08-10,28971.2,0.0,0.0,0.0,0.0
222,2021-08-11,27733.2,0.0,0.0,0.0,0.0
223,2021-08-12,30326.3,0.0,0.0,0.0,0.0
224,2021-08-13,31554.6,0.0,0.0,0.0,0.0
225,2021-08-14,45836.3,0.0,0.0,0.0,0.0
226,2021-08-15,39875.8,0.0,0.0,0.0,0.0
227,2021-08-16,37097.0,0.0,0.0,0.0,0.0
228,2021-08-17,29731.5,0.0,0.0,0.0,0.0
229,2021-08-18,31561.4,0.0,0.0,0.0,0.0
230,2021-08-19,36537.7,0.0,0.0,0.0,0.0
231,2021-08-20,35416.4,0.0,0.0,0.0,0.0
232,2021-08-21,85897.5,0.0,0.0,0.0,0.0
233,2021-08-22,41368.0,0.0,0.0,0.0,0.0
234,2021-08-23,25576.6,0.0,0.0,0.0,0.0
235,2021-08-24,21774.6,0.0,0.0,0.0,0.0
236,2021-08-25,18758.6,0.0,0.0,0.0,0.0
237,2021-08-26,29874.7,0.0,0.0,0.0,0.0
238,2021-08-27,31968.3,0.0,0.0,0.0,0.0
239,2021-08-28,38377.7,0.0,0.0,0.0,0.0
240,2021-08-29,36885.6,0.0,0.0,0.0,0.0
241,2021-08-30,18601.1,0.0,0.0,0.0,0.0
242,2021-08-31,22068.4,0.0,0.0,0.0,0.0
243,2021-09-01,28162.9,135.0,0.0,6.5,23.4
244,2021-09-02,25786.9,231.0,0.0,4.0,24.4
245,2021-09-03,29541.7,4.0,0.0,5.0,17.6
246,2021-09-04,26524.5,366.0,0.0,5.9,15.6
247,2021-09-05,36745.7,197.0,0.0,4.0,19.5
248,2021-09-06,21837.8,181.0,0.0,3.4,19.9
249,2021-09-07,23385.9,55.0,0.0,2.5,20.5
250,2021-09-08,29534.9,214.0,0.0,3.6,25.4
251,2021-09-09,26644.4,120.0,0.0,2.4,24.0
252,2021-09-10,42025.0,107.0,0.0,3.5,21.3
253,2021-09-11,32305.9,0.0,8.6,2.9,17.3
254,2021-09-12,33924.5,36.0,2.0,4.1,19.2
255,2021-09-13,15663.7,183.0,0.0,3.4,17.1
256,2021-09-14,17655.4,203.0,0.0,4.0,18.1
257,2021-09-15,30707.5,0.0,0.0,4.2,16.6
258,2021-09-16,32277.5,0.0,0.0,5.0,13.1
259,2021-09-17,38255.0,0.0,0.0,4.9,11.4
260,2021-09-18,45312.0,0.0,0.0,3.6,12.1
261,2021-09-19,39785.4,0.0,0.0,2.2,12.0
262,2021-09-20,23854.9,0.0,0.0,3.2,10.3
263,2021-09-21,26608.4,109.0,0.0,4.0,16.7
264,2021-09-22,28507.0,66.0,0.9,4.6,17.7
265,2021-09-23,28485.0,176.0,0.0,4.6,13.3
