,ds,cluster_label,sunshine_amount,fellesferie,is_may,covid_restriction_christmas,fall_start,covid_loose_fall21,christmas_shopping,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_fall_weekend,heavy_rain_winter_weekday,heavy_rain_winter_weekend,non_heavy_rain_fall_weekend,week_number,custom_regressor
114,2021-04-25,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,4,0,0,0,0,16,0.0
115,2021-04-26,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,4,0,0,0,0,17,0.0
116,2021-04-27,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,4,0,0,0,0,17,0.0
117,2021-04-28,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,4,0,0,0,0,17,0.0
118,2021-04-29,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,4,0,0,0,0,17,0.0
119,2021-04-30,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,4,0,0,0,0,17,0.0
120,2021-05-01,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,5,5,0,0,0,0,17,0.0
121,2021-05-02,0.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,6,5,0,0,0,0,17,0.0
122,2021-05-03,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0,5,0,0,0,0,18,0.0
123,2021-05-04,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,1,5,0,0,0,0,18,0.0
124,2021-05-05,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,2,5,0,0,0,0,18,0.0
125,2021-05-06,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,3,5,0,0,0,0,18,0.0
126,2021-05-07,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,4,5,0,0,0,0,18,0.0
127,2021-05-08,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,5,5,0,0,0,0,18,0.0
128,2021-05-09,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,6,5,0,0,0,0,18,0.0
129,2021-05-10,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0,5,0,0,0,0,19,0.0
130,2021-05-11,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,1,5,0,0,0,0,19,0.0
131,2021-05-12,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,2,5,0,0,0,0,19,0.0
132,2021-05-13,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,3,5,0,0,0,0,19,0.0
133,2021-05-14,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,4,5,0,0,0,0,19,0.0
134,2021-05-15,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,5,5,0,0,0,0,19,0.0
135,2021-05-16,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,6,5,0,0,0,0,19,0.0
136,2021-05-17,2.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0,5,0,0,0,0,20,0.0
137,2021-05-18,2.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,1,5,0,0,0,0,20,0.0
138,2021-05-19,2.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,2,5,0,0,0,0,20,0.0
139,2021-05-20,2.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,3,5,0,0,0,0,20,0.0
140,2021-05-21,2.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,4,5,0,0,0,0,20,0.0
141,2021-05-22,2.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,5,5,0,0,0,0,20,0.0
142,2021-05-23,2.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,6,5,0,0,0,0,20,0.0
143,2021-05-24,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0,5,0,0,0,0,21,0.0
144,2021-05-25,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,1,5,0,0,0,0,21,0.0
145,2021-05-26,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,2,5,0,0,0,0,21,0.0
146,2021-05-27,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,3,5,0,0,0,0,21,0.0
147,2021-05-28,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,4,5,0,0,0,0,21,0.0
148,2021-05-29,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,5,5,0,0,0,0,21,0.0
149,2021-05-30,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,6,5,0,0,0,0,21,0.0
150,2021-05-31,1.0,0.0,False,True,False,False,False,False,0.0,0.0,0.0,0,5,0,0,0,0,22,0.0
151,2021-06-01,1.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,6,0,0,0,0,22,0.0
152,2021-06-02,1.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,6,0,0,0,0,22,0.0
153,2021-06-03,1.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,6,0,0,0,0,22,0.0
154,2021-06-04,1.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,6,0,0,0,0,22,0.0
155,2021-06-05,1.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,6,0,0,0,0,22,0.0
156,2021-06-06,1.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,6,0,0,0,0,22,0.0
157,2021-06-07,4.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,6,0,0,0,0,23,0.0
158,2021-06-08,4.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,6,0,0,0,0,23,0.0
159,2021-06-09,4.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,6,0,0,0,0,23,0.0
160,2021-06-10,4.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,6,0,0,0,0,23,0.0
