,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_spring_weekend,heavy_rain_spring_weekday,heavy_rain_fall_weekend,heavy_rain_fall_weekday,heavy_rain_winter_weekday,before_payday,on_payday,after_payday,specific_month,covid_restriction_christmas,week_number,custom_regressor,fall_start,christmas_shopping,name,event_size,start_date,end_date,date,sentrum_scene_concert_Monday,sentrum_scene_concert_Tuesday,sentrum_scene_concert_Sunday,sentrum_scene_concert_Friday,sentrum_scene_concert_Thursday,sentrum_scene_concert_Saturday,sentrum_scene_concert_Wednesday,days_since_last_30,days_until_next_30,high_weekend,low_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
35,2021-02-05,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,0.0,0,0.0,False,False,5,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,True,False,False
36,2021-02-06,0.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,0.0,0,0.0,False,False,5,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,True,False
37,2021-02-07,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,0.0,0,0.0,False,False,5,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,False,False,False,False,False,True
38,2021-02-08,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,0.0,False,False,6,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
39,2021-02-09,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,0.0,0,0.0,False,False,6,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,False,True,False,False,False,False,False
40,2021-02-10,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0.0,0,0.0,False,False,6,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,5,False,True,False,False,True,False,False,False,False
41,2021-02-11,0.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,0.0,0,0.0,False,False,6,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,4,False,True,False,False,False,True,False,False,False
42,2021-02-12,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,0.0,0,0.0,False,False,6,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,3,False,True,False,False,False,False,True,False,False
43,2021-02-13,0.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,0.0,0,0.0,False,False,6,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,2,False,True,False,False,False,False,False,True,False
44,2021-02-14,0.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,0.0,0,0.0,False,False,6,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,1,False,True,False,False,False,False,False,False,True
45,2021-02-15,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,0,0.0,False,False,7,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,False,True,True,False,False,False,False,False,False
46,2021-02-16,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0,0.0,0,0.0,False,False,7,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,1,0,False,True,False,True,False,False,False,False,False
47,2021-02-17,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0.0,0,0.0,False,False,7,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,2,0,False,True,False,False,True,False,False,False,False
