ds,sunshine_amount,air_temperature,rain_sum,windspeed,ds,residuals,yhat,y,weekly,month_week_interaction,adjusted_forecast
2022-06-15,106.80000000000001,14.7,0.0,5.6,2022-06-15,68479.91410969094,21415.58589030906,89895.5,-0.008979758327146545,144,31088.40229655906
2022-06-16,253.29999999999998,19.5,0.0,5.0,2022-06-16,102.23567150301096,52893.964328496986,52996.2,-0.007039165999992693,144,40618.192844121986
2022-06-17,60.300000000000004,16.5,10.0,8.3,2022-06-17,64834.766139915606,10955.333860084402,75790.1,0.009751666558325437,144,49913.2674538344
2022-06-18,266.6,14.9,0.4,8.1,2022-06-18,58131.19580896811,55903.30419103189,114034.5,0.024086135422318727,144,99552.7143472819
2022-06-19,113.4,15.0,12.8,6.4,2022-06-19,7557.754205619018,22726.945794380983,30284.7,0.0012200198238351972,144,42437.11962250598
2022-06-20,233.4,17.1,0.0,8.4,2022-06-20,-4962.343847939381,49460.34384793938,44498.0,-0.011617559250092654,150,44762.55136747063
2022-06-21,40.2,14.3,2.1,4.2,2022-06-21,27904.922731507027,7623.5772684929725,35528.5,-0.007421338227206047,150,27964.731565367973
2022-06-22,40.2,15.0,0.0,4.6,2022-06-22,44068.06791189342,7803.332088106577,51871.4,-0.008979758327142083,150,28885.730525606577
2022-06-23,220.1,16.8,0.1,8.5,2022-06-23,-7619.457178773562,47146.65717877356,39527.2,-0.007039165999991544,150,50787.878614320434
2022-06-24,373.4,28.4,0.8999999999999999,9.5,2022-06-24,-22266.807029988835,81756.30702998883,59489.5,0.009751666558341903,150,53768.658592488835
2022-06-25,486.6,24.1,0.0,7.4,2022-06-25,-10139.787639889939,107640.68763988993,97500.9,0.024086135422342708,150,115377.93959301493
2022-06-26,120.1,21.6,3.5,5.9,2022-06-26,27989.527946919767,24964.272053080236,52953.8,0.001220019823810504,150,37635.69978745523
2022-06-27,120.0,22.5,0.0,5.7,2022-06-27,8883.318433914777,24962.981566085225,33846.3,-0.011617559250096908,156,25993.270018233663
2022-06-28,360.0,21.2,0.0,4.8,2022-06-28,-47300.67310554473,78940.47310554473,31639.8,-0.007421338227212032,156,42461.168418044734
2022-06-29,360.0,24.7,0.0,5.6,2022-06-29,-23497.428397874457,79606.52839787446,56109.1,-0.008979758327137094,156,44424.544022874456
2022-06-30,360.0,27.7,0.0,6.5,2022-06-30,-17531.519548945653,78107.81954894566,60576.3,-0.007039166000023717,156,47321.450408320656
2022-07-01,60.300000000000004,29.1,6.7,8.0,2022-07-01,56097.219571078946,10696.880428921062,66794.1,0.00975166655835837,182,45076.68511642106
2022-07-02,87.0,19.2,2.5,7.6,2022-07-02,93142.5849345598,16357.91506544021,109500.5,0.024086135422334315,182,74089.6845966902
2022-07-03,386.7,16.7,0.0,6.2,2022-07-03,-30101.155509247197,82741.6555092472,52640.5,0.0012200198238022616,182,44946.9914467472
2022-07-04,93.4,15.2,2.8,7.0,2022-07-04,25271.980413821006,17897.419586178996,43169.4,-0.01161755925008925,189,28555.994781491496
2022-07-05,119.89999999999999,14.7,1.3,7.4,2022-07-05,12029.845600573055,24267.754399426944,36297.6,-0.007421338227204764,189,28729.912114270694
2022-07-06,40.2,13.5,11.4,6.4,2022-07-06,32801.71354286868,6682.986457131316,39484.7,-0.008979758327132105,189,37687.420050881316
2022-07-07,253.3,17.0,0.1,9.3,2022-07-07,-7027.808153733124,51619.90815373312,44592.1,-0.007039166000022567,189,48465.89472599875
2022-07-08,100.3,15.3,1.6,6.9,2022-07-08,28913.505835008185,17970.094164991813,46883.6,0.009751666558374839,189,43301.23478999181
2022-07-09,186.8,14.8,0.5,8.1,2022-07-09,48228.71225821875,36186.987741781246,84415.7,0.024086135422328833,189,91489.72211678125
2022-07-10,280.0,16.7,0.0,6.5,2022-07-10,-13172.705153928742,56120.90515392874,42948.2,0.001220019823777568,189,39743.31531017874
2022-07-11,140.1,19.8,0.0,4.1,2022-07-11,16652.55489899831,26005.145101001686,42657.7,-0.011617559250085004,196,23955.35970061106
2022-07-12,87.0,20.5,0.0,7.5,2022-07-12,16840.436266735018,14269.763733264983,31110.2,-0.0074213382271975,196,24498.142639514983
2022-07-13,106.9,15.3,1.7,6.6,2022-07-13,42698.09853798093,19095.00146201907,61793.1,-0.008979758327151031,196,30210.14208701907
